acc_x_0,acc_y_0,acc_z_0,gyro_x_0,gyro_y_0,gyro_z_0,acc_x_100,acc_y_100,acc_z_100,gyro_x_100,gyro_y_100,gyro_z_100,acc_x_200,acc_y_200,acc_z_200,gyro_x_200,gyro_y_200,gyro_z_200,acc_x_300,acc_y_300,acc_z_300,gyro_x_300,gyro_y_300,gyro_z_300,acc_x_400,acc_y_400,acc_z_400,gyro_x_400,gyro_y_400,gyro_z_400,acc_x_500,acc_y_500,acc_z_500,gyro_x_500,gyro_y_500,gyro_z_500,acc_x_600,acc_y_600,acc_z_600,gyro_x_600,gyro_y_600,gyro_z_600,acc_x_700,acc_y_700,acc_z_700,gyro_x_700,gyro_y_700,gyro_z_700,acc_x_800,acc_y_800,acc_z_800,gyro_x_800,gyro_y_800,gyro_z_800,acc_x_900,acc_y_900,acc_z_900,gyro_x_900,gyro_y_900,gyro_z_900,acc_x_1000,acc_y_1000,acc_z_1000,gyro_x_1000,gyro_y_1000,gyro_z_1000,shift,label
-0.3567361,0.0,10.10353,-0.4274809,1.091603,-0.9770992,1.106121,0.07900865,10.09635,-0.6335878,1.152672,-2.465649,0.6440403,0.08140286,10.18254,-0.2366412,1.580153,-1.343511,4.498705,0.4070143,10.26155,-1.229008,0.3053435,-3.419847,18.31564,0.1149217,11.17613,-3.51145,-0.7175572,35.96947,-7.043741,-3.100491,9.579201,-1.129771,-13.20611,12.0458,-13.28303,-2.070984,9.916783,2.465649,6.984733,-50.98474,-0.1460463,0.3399766,10.07959,-0.8931297,2.175573,-16.55725,-0.01915361,-0.06703765,10.08198,-0.05343511,1.633588,-15.59542,-0.237026,-0.08858546,10.12268,-1.152672,0.4885496,-2.328244,-0.1891419,-0.08858546,10.19691,-0.5496183,1.343511,-1.244275,-16,1
0.0,-0.04788403,10.09874,-0.8549618,1.526718,-1.389313,0.3567361,-0.1795651,10.1179,-0.5954198,1.656489,4.862596,2.825158,-0.05027823,9.895236,-0.1068702,3.473282,-5.572519,6.888118,-0.5434838,10.14663,-2.51145,-2.832061,-32.62595,0.1819593,-0.5602432,10.59674,0.4961832,-1.015267,-7.770992,-7.216124,-0.007182605,11.49456,-1.259542,2.816794,35.40458,-4.41012,0.7350199,9.842564,1.114504,2.21374,-8.893129,-1.192312,-0.2178724,10.11311,-0.832061,0.7022901,-12.52672,0.05027823,0.03112462,10.1179,-0.7328244,0.3664122,2.198473,0.08858546,0.2896984,10.00297,-1.335878,1.328244,-1.549618,0.1532289,-0.1987187,10.24479,0.4961832,2.450382,-2.251908,-5,1
0.1197101,0.07661445,10.1586,-0.9312977,1.717557,3.305344,6.974309,0.004788404,10.97502,-1.076336,2.137405,-0.2900764,12.29423,1.910573,11.30782,-1.015267,-2.496183,-1.923664,4.086902,-0.914585,10.00776,-4.114504,6.641222,64.67939,-19.58696,0.8882488,9.23683,-1.374046,4.274809,-60.23664,-1.058237,-0.01915361,10.12987,-1.175573,1.229008,-1.419847,-0.2585738,-0.06224924,10.10593,-1.641221,1.091603,7.526718,-0.2035071,-0.1604115,10.14184,-0.7633588,0.610687,-1.564886,-0.1221043,-0.05746084,10.05565,-0.8396947,1.045802,-2.900763,-0.1484405,-0.07422025,10.09395,-0.7557252,0.648855,4.221374,-0.01197101,-0.09576806,10.08677,-0.6641222,1.076336,-0.2366412,0,1
0.6847417,-0.1173159,10.20409,0.4656488,3.007634,0.5343512,1.355118,-0.004788404,10.20648,-1.312977,0.9770992,-8.610687,19.6127,3.198653,11.0684,-1.442748,1.48855,32.9084,-10.55125,-4.977545,9.315839,-6.183206,1.938931,-5.900764,-11.85369,-2.542642,9.746795,2.961832,1.198473,-59.48855,-0.9097966,1.118092,10.16339,-0.740458,1.022901,-3.442748,-0.5051765,-0.09097966,10.1586,-0.740458,0.8931297,-3.183206,-0.1580173,-0.06943185,10.04846,-0.870229,1.259542,-1.396947,-0.213084,-0.04788403,10.10353,-0.3282443,1.19084,-1.244275,-0.1484405,-0.07661445,10.12029,-0.8091603,0.9847328,-1.259542,-0.1580173,-0.04070143,10.09874,-0.7328244,1.045802,-1.381679,2,1
0.1675941,0.01675941,10.18733,-0.8931297,0.9541985,-0.7175572,0.5650316,0.009576807,10.13226,-0.8244275,1.259542,1.099237,-0.1867477,-0.02394202,10.15141,-0.870229,1.229008,3.709924,1.343147,0.06943185,10.17775,-0.9847328,1.671756,-6.229008,19.6127,4.206613,11.25035,-3.343511,3.335878,103.2366,-19.6133,1.170765,9.399636,0.9694656,1.908397,-92.61069,-7.098808,-2.810793,9.945514,-2.526718,0.4198473,61.59542,-0.2298434,0.2322376,10.0317,-0.3282443,1.503817,-6.206107,-0.5530606,0.01915361,10.12029,-0.9541985,1.21374,-0.8778625,-0.1675941,-0.2992752,10.09395,-0.7862596,0.648855,-0.9312977,-0.04070143,-0.1077391,10.15381,-0.8625955,1.21374,-2.450382,-19,1
1.06542,0.1053449,10.10114,-1.351145,1.221374,9.015267,4.690241,-1.355118,10.40041,-1.175573,-0.3053435,-11.46565,9.947908,0.3399766,11.79144,-1.900763,-3.618321,41.77099,-1.831564,-1.268927,10.51294,-3.358779,-4.396946,1.312977,-14.85602,2.348712,10.38365,-0.3969466,-0.7862596,14.27481,-0.9720459,-1.005565,9.964667,-0.8473283,-0.1450382,-6.938931,-0.08140286,-0.2106898,10.12029,0.351145,2.282443,-4.503817,-0.04788403,0.01197101,10.14902,-1.045802,0.7633588,-1.099237,-0.05746084,-0.237026,10.11071,-0.7175572,1.343511,-5.267176,-0.5123591,0.06943185,10.1179,-0.7251908,1.137405,0.7862596,-0.1292869,0.05027823,10.12029,-1.19084,0.7022901,-0.9236641,5,1
-0.3280056,-0.1867477,10.30465,-0.610687,1.0,5.793893,1.051055,-0.02633622,10.20409,-1.122137,0.6412213,2.480916,1.029507,0.06703765,10.15141,-0.6183206,2.114504,-3.152672,0.9959879,0.1197101,10.11071,-1.725191,0.2977099,-8.78626,19.6127,1.989582,11.04206,-1.916031,-2.305344,74.31298,-17.04672,-0.3878607,9.466674,2.236641,-1.847328,-39.32061,-7.917625,-2.806004,9.849746,0.05343511,1.900763,-36.99237,-0.4955997,0.9816227,10.23521,-1.21374,1.885496,-16.28244,-0.4668693,-0.1771709,10.18015,-1.251908,0.9236641,-2.480916,-0.1795651,0.1723825,10.12987,-0.610687,1.007634,-0.961832,-0.2322376,0.01197101,10.10593,-0.3664122,0.9847328,-1.435114,-17,1
-0.004788404,-0.1149217,10.09635,-0.3969466,1.343511,0.07633588,0.3064578,0.01436521,10.14184,-0.6946565,0.3206107,-3.0,5.770026,-0.3926491,10.22564,-4.366412,-0.6717557,6.770992,4.781221,-0.4285621,11.4395,2.51145,-6.40458,22.94657,-1.788469,-0.225055,9.866506,-3.152672,-1.251908,15.51908,-7.026982,1.089362,10.6542,0.6335878,-1.473282,7.496183,-3.380613,0.002394202,10.14423,-1.534351,1.954198,-7.282443,-1.233014,0.0,10.21366,-0.08396947,1.160305,-8.015267,-0.05267244,-0.1149217,10.1155,-1.229008,0.3129771,-2.549618,0.08140286,-0.08379706,10.10593,-0.7022901,1.732824,0.9770992,0.01197101,-0.03112462,10.1155,-0.7480916,1.282443,-1.351145,-2,1
-0.4668693,-0.1149217,10.18254,-0.6412213,1.412214,1.389313,0.4548983,-0.08379706,10.14663,-0.8854962,1.145038,-1.412214,0.02394202,0.02154782,10.09156,-0.3435115,1.435114,-0.5725191,0.2537854,0.02394202,10.12029,-0.351145,1.122137,0.870229,9.892841,1.23062,10.35732,-1.366412,0.5877862,-18.92366,5.837064,-5.600038,10.52252,-3.916031,0.3740458,1.832061,-17.16643,3.569755,9.809045,-5.78626,2.862595,-60.69466,-1.352724,-0.5626374,10.01734,0.259542,0.610687,10.70229,-0.28491,-0.007182605,10.11071,0.007633588,0.8091603,-4.534351,-0.08379706,-0.08379706,10.1179,0.0,0.8931297,-0.8931297,-0.2178724,0.2394202,10.12508,0.1908397,1.221374,-1.251908,-20,1
-0.03591302,-0.09576806,10.04846,-0.1068702,1.152672,-0.3587786,0.2035071,-0.007182605,10.1562,-0.5419847,0.5343512,-2.70229,4.853047,-0.4836287,10.08198,-2.099237,-0.1526718,1.580153,7.673417,-0.6224924,9.576807,-0.2290076,-0.09923664,29.9771,-2.238579,0.08858546,10.79546,-1.648855,-6.534351,11.92366,-6.509834,0.06224924,10.14184,2.10687,-6.877862,12.89313,-4.022259,0.3687071,10.2831,0.9007633,3.48855,-19.05343,-1.467646,0.07422025,10.06762,-0.2671756,0.7557252,-8.450381,-0.2106898,-0.2011129,10.14184,-1.007634,0.5038168,-5.229008,0.1077391,-0.1149217,10.08677,-0.3129771,1.40458,-0.519084,0.04070143,-0.03591302,10.1562,-0.5038168,1.274809,-0.480916,-3,1
