hz,model,accuracy
10,decision_tree,0.9420289855072463
20,decision_tree,0.9420289855072463
25,decision_tree,0.927536231884058
50,decision_tree,0.927536231884058
100,decision_tree,0.8840579710144928
10,random_forest,0.8695652173913043
20,random_forest,0.9420289855072463
25,random_forest,0.9565217391304348
50,random_forest,0.9565217391304348
100,random_forest,0.9855072463768116
10,svc,0.9420289855072463
20,svc,0.9710144927536232
25,svc,0.9420289855072463
50,svc,0.9130434782608695
100,svc,0.927536231884058
10,logistic_regression,0.9420289855072463
20,logistic_regression,0.927536231884058
25,logistic_regression,0.8840579710144928
50,logistic_regression,0.9130434782608695
100,logistic_regression,0.9130434782608695
