hz,decision_tree,random_forest,svc,logistic_regression,framework
10,6.557890500002291e-06,3.0208239728589044e-05,0.000434073265429106,0.0004398261211429469,pure-python
20,4.96649174857209e-06,3.281497310001994e-05,0.0008403637582853532,0.0008513739021428981,pure-python
25,4.875737425708004e-06,2.745845507145402e-05,0.001041573633571326,0.0010471011678572333,pure-python
50,4.833258169996302e-06,2.9651879714297788e-05,0.0020378926599992804,0.002051195611428349,pure-python
100,3.326386654282812e-06,2.5566647342878112e-05,0.004211835975719233,0.004121980348572834,pure-python
10,6.607592372854145e-05,0.0005928817074283351,6.066410021428185e-05,6.06529759285747e-05,scikit
20,6.888251801428851e-05,0.0005939366574283278,5.9837610328577286e-05,6.13779213285982e-05,scikit
25,6.606620135717094e-05,0.0005919745511432016,6.085079474284742e-05,6.0042986342809205e-05,scikit
50,6.914931888573586e-05,0.0005949647409997851,6.056321550004213e-05,6.139360404285981e-05,scikit
100,6.948609042852435e-05,0.0006059574869996141,6.286250158570641e-05,6.344816632853118e-05,scikit
